SURVIVAL_TYPE|CANCER_GROUP_SITE|PERIOD_YEARS|SEX|YEARS_AFTER_DIAGNOSIS|AGE_GROUP_YEARS|SURVIVAL|95_CI_LOWER_BOUND|95_CI_UPPER_BOUND
Relative|Gallbladder cancer|2015–2019|Persons|2|70–74|0.305|0.251|0.361
Relative|Gallbladder cancer|2015–2019|Persons|2|75–79|0.247|0.197|0.301
Relative|Gallbladder cancer|2015–2019|Persons|2|80–84|0.229|0.178|0.286
Relative|Gallbladder cancer|2015–2019|Persons|2|85+|0.162|0.122|0.209
Relative|Gallbladder cancer|2015–2019|Persons|2|All ages combined|0.297|0.275|0.318
Relative|Gallbladder cancer|2015–2019|Persons|3|00–04|||
Relative|Gallbladder cancer|2015–2019|Persons|3|05–09|||
Relative|Gallbladder cancer|2015–2019|Persons|3|10–14|||
Relative|Gallbladder cancer|2015–2019|Persons|3|15–19|||
Relative|Gallbladder cancer|2015–2019|Persons|3|20–24|||
Relative|Gallbladder cancer|2015–2019|Persons|3|25–29|||
Relative|Gallbladder cancer|2015–2019|Persons|3|30–34|||
Relative|Gallbladder cancer|2015–2019|Persons|3|35–39|||
Relative|Gallbladder cancer|2015–2019|Persons|3|40–44|||
Relative|Gallbladder cancer|2015–2019|Persons|3|45–49|||
Relative|Gallbladder cancer|2015–2019|Persons|3|50–54|0.481|0.353|0.598
Relative|Gallbladder cancer|2015–2019|Persons|3|55–59|0.368|0.28|0.457
Relative|Gallbladder cancer|2015–2019|Persons|3|60–64|0.293|0.228|0.362
Relative|Gallbladder cancer|2015–2019|Persons|3|65–69|0.266|0.213|0.322
Relative|Gallbladder cancer|2015–2019|Persons|3|70–74|0.246|0.196|0.3
Relative|Gallbladder cancer|2015–2019|Persons|3|75–79|0.215|0.167|0.268
Relative|Gallbladder cancer|2015–2019|Persons|3|80–84|0.157|0.112|0.208
Relative|Gallbladder cancer|2015–2019|Persons|3|85+|0.115|0.08|0.158
Relative|Gallbladder cancer|2015–2019|Persons|3|All ages combined|0.241|0.22|0.262
Relative|Gallbladder cancer|2015–2019|Persons|4|00–04|||
Relative|Gallbladder cancer|2015–2019|Persons|4|05–09|||
Relative|Gallbladder cancer|2015–2019|Persons|4|10–14|||
Relative|Gallbladder cancer|2015–2019|Persons|4|15–19|||
Relative|Gallbladder cancer|2015–2019|Persons|4|20–24|||
Relative|Gallbladder cancer|2015–2019|Persons|4|25–29|||
Relative|Gallbladder cancer|2015–2019|Persons|4|30–34|||
Relative|Gallbladder cancer|2015–2019|Persons|4|35–39|||
Relative|Gallbladder cancer|2015–2019|Persons|4|40–44|||
Relative|Gallbladder cancer|2015–2019|Persons|4|45–49|||
Relative|Gallbladder cancer|2015–2019|Persons|4|50–54|0.44|0.311|0.561
Relative|Gallbladder cancer|2015–2019|Persons|4|55–59|0.337|0.25|0.427
Relative|Gallbladder cancer|2015–2019|Persons|4|60–64|0.266|0.203|0.334
Relative|Gallbladder cancer|2015–2019|Persons|4|65–69|0.216|0.167|0.269
Relative|Gallbladder cancer|2015–2019|Persons|4|70–74|0.213|0.164|0.265
Relative|Gallbladder cancer|2015–2019|Persons|4|75–79|0.183|0.137|0.235
Relative|Gallbladder cancer|2015–2019|Persons|4|80–84|0.145|0.1|0.198
Relative|Gallbladder cancer|2015–2019|Persons|4|85+|0.089|0.057|0.13
Relative|Gallbladder cancer|2015–2019|Persons|4|All ages combined|0.208|0.188|0.229
Relative|Gallbladder cancer|2015–2019|Persons|5|00–04|||
Relative|Gallbladder cancer|2015–2019|Persons|5|05–09|||
Relative|Gallbladder cancer|2015–2019|Persons|5|10–14|||
Relative|Gallbladder cancer|2015–2019|Persons|5|15–19|||
Relative|Gallbladder cancer|2015–2019|Persons|5|20–24|||
Relative|Gallbladder cancer|2015–2019|Persons|5|25–29|||
Relative|Gallbladder cancer|2015–2019|Persons|5|30–34|||
Relative|Gallbladder cancer|2015–2019|Persons|5|35–39|||
Relative|Gallbladder cancer|2015–2019|Persons|5|40–44|||
Relative|Gallbladder cancer|2015–2019|Persons|5|45–49|||
Relative|Gallbladder cancer|2015–2019|Persons|5|50–54|||
Relative|Gallbladder cancer|2015–2019|Persons|5|55–59|0.339|0.251|0.429
Relative|Gallbladder cancer|2015–2019|Persons|5|60–64|0.242|0.181|0.309
Relative|Gallbladder cancer|2015–2019|Persons|5|65–69|0.187|0.14|0.239
Relative|Gallbladder cancer|2015–2019|Persons|5|70–74|0.191|0.144|0.244
Relative|Gallbladder cancer|2015–2019|Persons|5|75–79|0.153|0.109|0.205
Relative|Gallbladder cancer|2015–2019|Persons|5|80–84|0.133|0.089|0.187
Relative|Gallbladder cancer|2015–2019|Persons|5|85+|0.1|0.063|0.15
Relative|Gallbladder cancer|2015–2019|Persons|5|All ages combined|0.191|0.172|0.212
Observed|Gynaecological cancers|2015–2019|Females|1|00–04|||
Observed|Gynaecological cancers|2015–2019|Females|1|05–09|||
Observed|Gynaecological cancers|2015–2019|Females|1|10–14|1|0.891|1
Observed|Gynaecological cancers|2015–2019|Females|1|15–19|0.94|0.825|0.98
Observed|Gynaecological cancers|2015–2019|Females|1|20–24|0.956|0.905|0.98
Observed|Gynaecological cancers|2015–2019|Females|1|25–29|0.981|0.962|0.99
Observed|Gynaecological cancers|2015–2019|Females|1|30–34|0.977|0.965|0.985
Observed|Gynaecological cancers|2015–2019|Females|1|35–39|0.963|0.95|0.973
Observed|Gynaecological cancers|2015–2019|Females|1|40–44|0.951|0.939|0.962
Observed|Gynaecological cancers|2015–2019|Females|1|45–49|0.947|0.936|0.956
Observed|Gynaecological cancers|2015–2019|Females|1|50–54|0.932|0.921|0.941
Observed|Gynaecological cancers|2015–2019|Females|1|55–59|0.935|0.926|0.943
Observed|Gynaecological cancers|2015–2019|Females|1|60–64|0.922|0.913|0.93
Observed|Gynaecological cancers|2015–2019|Females|1|65–69|0.908|0.899|0.916
Observed|Gynaecological cancers|2015–2019|Females|1|70–74|0.871|0.86|0.882
Observed|Gynaecological cancers|2015–2019|Females|1|75–79|0.807|0.792|0.822
Observed|Gynaecological cancers|2015–2019|Females|1|80–84|0.694|0.672|0.714
Observed|Gynaecological cancers|2015–2019|Females|1|85+|0.49|0.467|0.512
Observed|Gynaecological cancers|2015–2019|Females|1|All ages combined|0.872|0.868|0.876
Observed|Gynaecological cancers|2015–2019|Females|2|00–04|||
Observed|Gynaecological cancers|2015–2019|Females|2|05–09|||
Observed|Gynaecological cancers|2015–2019|Females|2|10–14|1|0.904|1
Observed|Gynaecological cancers|2015–2019|Females|2|15–19|0.94|0.825|0.98
Observed|Gynaecological cancers|2015–2019|Females|2|20–24|0.942|0.888|0.971
Observed|Gynaecological cancers|2015–2019|Females|2|25–29|0.938|0.911|0.957
Observed|Gynaecological cancers|2015–2019|Females|2|30–34|0.937|0.918|0.951
Observed|Gynaecological cancers|2015–2019|Females|2|35–39|0.934|0.917|0.947
Observed|Gynaecological cancers|2015–2019|Females|2|40–44|0.897|0.879|0.912
Observed|Gynaecological cancers|2015–2019|Females|2|45–49|0.902|0.887|0.915
Observed|Gynaecological cancers|2015–2019|Females|2|50–54|0.882|0.868|0.894
Observed|Gynaecological cancers|2015–2019|Females|2|55–59|0.875|0.864|0.886
Observed|Gynaecological cancers|2015–2019|Females|2|60–64|0.861|0.849|0.871
Observed|Gynaecological cancers|2015–2019|Females|2|65–69|0.829|0.817|0.84
Observed|Gynaecological cancers|2015–2019|Females|2|70–74|0.77|0.755|0.784
Observed|Gynaecological cancers|2015–2019|Females|2|75–79|0.683|0.664|0.701
Observed|Gynaecological cancers|2015–2019|Females|2|80–84|0.558|0.535|0.581
Observed|Gynaecological cancers|2015–2019|Females|2|85+|0.342|0.321|0.363
Observed|Gynaecological cancers|2015–2019|Females|2|All ages combined|0.792|0.787|0.796
Observed|Gynaecological cancers|2015–2019|Females|3|00–04|||
Observed|Gynaecological cancers|2015–2019|Females|3|05–09|||
Observed|Gynaecological cancers|2015–2019|Females|3|10–14|1|0.907|1
Observed|Gynaecological cancers|2015–2019|Females|3|15–19|0.94|0.825|0.98
Observed|Gynaecological cancers|2015–2019|Females|3|20–24|0.91|0.851|0.947
Observed|Gynaecological cancers|2015–2019|Females|3|25–29|0.924|0.895|0.945
Observed|Gynaecological cancers|2015–2019|Females|3|30–34|0.918|0.898|0.935
Observed|Gynaecological cancers|2015–2019|Females|3|35–39|0.914|0.895|0.93
Observed|Gynaecological cancers|2015–2019|Females|3|40–44|0.862|0.842|0.879
Observed|Gynaecological cancers|2015–2019|Females|3|45–49|0.857|0.84|0.873
Observed|Gynaecological cancers|2015–2019|Females|3|50–54|0.844|0.829|0.858
Observed|Gynaecological cancers|2015–2019|Females|3|55–59|0.824|0.811|0.837
Observed|Gynaecological cancers|2015–2019|Females|3|60–64|0.807|0.794|0.82
Observed|Gynaecological cancers|2015–2019|Females|3|65–69|0.767|0.754|0.78
Observed|Gynaecological cancers|2015–2019|Females|3|70–74|0.697|0.681|0.713
Observed|Gynaecological cancers|2015–2019|Females|3|75–79|0.603|0.583|0.622
Observed|Gynaecological cancers|2015–2019|Females|3|80–84|0.463|0.44|0.486
Observed|Gynaecological cancers|2015–2019|Females|3|85+|0.263|0.244|0.283
Observed|Gynaecological cancers|2015–2019|Females|3|All ages combined|0.734|0.729|0.739
Observed|Gynaecological cancers|2015–2019|Females|4|00–04|||
Observed|Gynaecological cancers|2015–2019|Females|4|05–09|||
Observed|Gynaecological cancers|2015–2019|Females|4|10–14|1|0.905|1
Observed|Gynaecological cancers|2015–2019|Females|4|15–19|0.918|0.795|0.968
Observed|Gynaecological cancers|2015–2019|Females|4|20–24|0.904|0.844|0.942
Observed|Gynaecological cancers|2015–2019|Females|4|25–29|0.916|0.886|0.938
Observed|Gynaecological cancers|2015–2019|Females|4|30–34|0.9|0.877|0.918
Observed|Gynaecological cancers|2015–2019|Females|4|35–39|0.892|0.871|0.909
Observed|Gynaecological cancers|2015–2019|Females|4|40–44|0.839|0.818|0.858
Observed|Gynaecological cancers|2015–2019|Females|4|45–49|0.814|0.795|0.832
Observed|Gynaecological cancers|2015–2019|Females|4|50–54|0.808|0.791|0.823
Observed|Gynaecological cancers|2015–2019|Females|4|55–59|0.789|0.774|0.803
Observed|Gynaecological cancers|2015–2019|Females|4|60–64|0.766|0.752|0.78
Observed|Gynaecological cancers|2015–2019|Females|4|65–69|0.716|0.702|0.73
Observed|Gynaecological cancers|2015–2019|Females|4|70–74|0.64|0.622|0.656
Observed|Gynaecological cancers|2015–2019|Females|4|75–79|0.53|0.51|0.55
Observed|Gynaecological cancers|2015–2019|Females|4|80–84|0.407|0.384|0.429
Observed|Gynaecological cancers|2015–2019|Females|4|85+|0.213|0.195|0.231
Observed|Gynaecological cancers|2015–2019|Females|4|All ages combined|0.69|0.684|0.695
Observed|Gynaecological cancers|2015–2019|Females|5|00–04|||
Observed|Gynaecological cancers|2015–2019|Females|5|05–09|||
Observed|Gynaecological cancers|2015–2019|Females|5|10–14|1|0.906|1
Observed|Gynaecological cancers|2015–2019|Females|5|15–19|0.918|0.795|0.968
Observed|Gynaecological cancers|2015–2019|Females|5|20–24|0.898|0.837|0.938
Observed|Gynaecological cancers|2015–2019|Females|5|25–29|0.914|0.884|0.936
Observed|Gynaecological cancers|2015–2019|Females|5|30–34|0.893|0.87|0.912
Observed|Gynaecological cancers|2015–2019|Females|5|35–39|0.878|0.856|0.897
Observed|Gynaecological cancers|2015–2019|Females|5|40–44|0.827|0.805|0.846
Observed|Gynaecological cancers|2015–2019|Females|5|45–49|0.792|0.772|0.81
Observed|Gynaecological cancers|2015–2019|Females|5|50–54|0.789|0.772|0.805
Observed|Gynaecological cancers|2015–2019|Females|5|55–59|0.763|0.748|0.778
Observed|Gynaecological cancers|2015–2019|Females|5|60–64|0.739|0.724|0.753
Observed|Gynaecological cancers|2015–2019|Females|5|65–69|0.677|0.662|0.692
Observed|Gynaecological cancers|2015–2019|Females|5|70–74|0.599|0.581|0.616
Observed|Gynaecological cancers|2015–2019|Females|5|75–79|0.487|0.467|0.507
Observed|Gynaecological cancers|2015–2019|Females|5|80–84|0.354|0.332|0.376
Observed|Gynaecological cancers|2015–2019|Females|5|85+|0.173|0.156|0.19
Observed|Gynaecological cancers|2015–2019|Females|5|All ages combined|0.659|0.654|0.665
Relative|Gynaecological cancers|2015–2019|Females|1|00–04|||
Relative|Gynaecological cancers|2015–2019|Females|1|05–09|||
Relative|Gynaecological cancers|2015–2019|Females|1|10–14|1|0.891|1
Relative|Gynaecological cancers|2015–2019|Females|1|15–19|0.94|0.826|0.98
Relative|Gynaecological cancers|2015–2019|Females|1|20–24|0.956|0.905|0.98
Relative|Gynaecological cancers|2015–2019|Females|1|25–29|0.981|0.962|0.991
Relative|Gynaecological cancers|2015–2019|Females|1|30–34|0.977|0.965|0.985
Relative|Gynaecological cancers|2015–2019|Females|1|35–39|0.964|0.951|0.974
Relative|Gynaecological cancers|2015–2019|Females|1|40–44|0.952|0.939|0.963
Relative|Gynaecological cancers|2015–2019|Females|1|45–49|0.949|0.937|0.958
Relative|Gynaecological cancers|2015–2019|Females|1|50–54|0.934|0.923|0.944
Relative|Gynaecological cancers|2015–2019|Females|1|55–59|0.938|0.929|0.946
Relative|Gynaecological cancers|2015–2019|Females|1|60–64|0.926|0.917|0.934
Relative|Gynaecological cancers|2015–2019|Females|1|65–69|0.914|0.905|0.923
Relative|Gynaecological cancers|2015–2019|Females|1|70–74|0.882|0.87|0.893
Relative|Gynaecological cancers|2015–2019|Females|1|75–79|0.825|0.809|0.84
Relative|Gynaecological cancers|2015–2019|Females|1|80–84|0.723|0.7|0.744
Relative|Gynaecological cancers|2015–2019|Females|1|85+|0.549|0.523|0.574
Relative|Gynaecological cancers|2015–2019|Females|1|All ages combined|0.885|0.881|0.889
Relative|Gynaecological cancers|2015–2019|Females|2|00–04|||
Relative|Gynaecological cancers|2015–2019|Females|2|05–09|||
Relative|Gynaecological cancers|2015–2019|Females|2|10–14|1|0.904|1
Relative|Gynaecological cancers|2015–2019|Females|2|15–19|0.94|0.826|0.981
Relative|Gynaecological cancers|2015–2019|Females|2|20–24|0.943|0.888|0.971
Relative|Gynaecological cancers|2015–2019|Females|2|25–29|0.939|0.912|0.958
Relative|Gynaecological cancers|2015–2019|Females|2|30–34|0.937|0.919|0.952
Relative|Gynaecological cancers|2015–2019|Females|2|35–39|0.935|0.918|0.948
Relative|Gynaecological cancers|2015–2019|Females|2|40–44|0.899|0.881|0.914
Relative|Gynaecological cancers|2015–2019|Females|2|45–49|0.904|0.89|0.917
Relative|Gynaecological cancers|2015–2019|Females|2|50–54|0.885|0.872|0.898
Relative|Gynaecological cancers|2015–2019|Females|2|55–59|0.881|0.869|0.892
Relative|Gynaecological cancers|2015–2019|Females|2|60–64|0.869|0.857|0.88
Relative|Gynaecological cancers|2015–2019|Females|2|65–69|0.842|0.829|0.853
Relative|Gynaecological cancers|2015–2019|Females|2|70–74|0.79|0.775|0.804
Relative|Gynaecological cancers|2015–2019|Females|2|75–79|0.715|0.696|0.734
Relative|Gynaecological cancers|2015–2019|Females|2|80–84|0.61|0.585|0.634
Relative|Gynaecological cancers|2015–2019|Females|2|85+|0.432|0.405|0.458
Relative|Gynaecological cancers|2015–2019|Females|2|All ages combined|0.814|0.809|0.819
Relative|Gynaecological cancers|2015–2019|Females|3|00–04|||
Relative|Gynaecological cancers|2015–2019|Females|3|05–09|||
Relative|Gynaecological cancers|2015–2019|Females|3|10–14|1|0.908|1
Relative|Gynaecological cancers|2015–2019|Females|3|15–19|0.941|0.826|0.981
Relative|Gynaecological cancers|2015–2019|Females|3|20–24|0.911|0.851|0.948
Relative|Gynaecological cancers|2015–2019|Females|3|25–29|0.925|0.896|0.946
Relative|Gynaecological cancers|2015–2019|Females|3|30–34|0.92|0.899|0.936
Relative|Gynaecological cancers|2015–2019|Females|3|35–39|0.916|0.897|0.931
Relative|Gynaecological cancers|2015–2019|Females|3|40–44|0.865|0.845|0.882
Relative|Gynaecological cancers|2015–2019|Females|3|45–49|0.861|0.844|0.877
Relative|Gynaecological cancers|2015–2019|Females|3|50–54|0.85|0.835|0.864
Relative|Gynaecological cancers|2015–2019|Females|3|55–59|0.833|0.819|0.846
Relative|Gynaecological cancers|2015–2019|Females|3|60–64|0.82|0.806|0.832
Relative|Gynaecological cancers|2015–2019|Females|3|65–69|0.786|0.772|0.799
Relative|Gynaecological cancers|2015–2019|Females|3|70–74|0.726|0.709|0.742
Relative|Gynaecological cancers|2015–2019|Females|3|75–79|0.648|0.627|0.669
Relative|Gynaecological cancers|2015–2019|Females|3|80–84|0.534|0.507|0.56
Relative|Gynaecological cancers|2015–2019|Females|3|85+|0.379|0.352|0.408
Relative|Gynaecological cancers|2015–2019|Females|3|All ages combined|0.765|0.759|0.77
Relative|Gynaecological cancers|2015–2019|Females|4|00–04|||
Relative|Gynaecological cancers|2015–2019|Females|4|05–09|||
Relative|Gynaecological cancers|2015–2019|Females|4|10–14|1.001|0.906|1.001
Relative|Gynaecological cancers|2015–2019|Females|4|15–19|0.918|0.796|0.969
Relative|Gynaecological cancers|2015–2019|Females|4|20–24|0.905|0.845|0.943
Relative|Gynaecological cancers|2015–2019|Females|4|25–29|0.917|0.887|0.939
Relative|Gynaecological cancers|2015–2019|Females|4|30–34|0.901|0.879|0.92
Relative|Gynaecological cancers|2015–2019|Females|4|35–39|0.894|0.873|0.912
Relative|Gynaecological cancers|2015–2019|Females|4|40–44|0.842|0.821|0.861
Relative|Gynaecological cancers|2015–2019|Females|4|45–49|0.82|0.8|0.837
Relative|Gynaecological cancers|2015–2019|Females|4|50–54|0.816|0.799|0.831
Relative|Gynaecological cancers|2015–2019|Females|4|55–59|0.8|0.785|0.814
Relative|Gynaecological cancers|2015–2019|Females|4|60–64|0.783|0.768|0.796
Relative|Gynaecological cancers|2015–2019|Females|4|65–69|0.741|0.726|0.755
Relative|Gynaecological cancers|2015–2019|Females|4|70–74|0.678|0.659|0.695
Relative|Gynaecological cancers|2015–2019|Females|4|75–79|0.589|0.566|0.611
Relative|Gynaecological cancers|2015–2019|Females|4|80–84|0.498|0.471|0.526
Relative|Gynaecological cancers|2015–2019|Females|4|85+|0.356|0.326|0.386
Relative|Gynaecological cancers|2015–2019|Females|4|All ages combined|0.728|0.722|0.734
Relative|Gynaecological cancers|2015–2019|Females|5|00–04|||
Relative|Gynaecological cancers|2015–2019|Females|5|05–09|||
Relative|Gynaecological cancers|2015–2019|Females|5|10–14|1.001|0.907|1.001
Relative|Gynaecological cancers|2015–2019|Females|5|15–19|0.919|0.796|0.969
Relative|Gynaecological cancers|2015–2019|Females|5|20–24|0.9|0.838|0.939
Relative|Gynaecological cancers|2015–2019|Females|5|25–29|0.915|0.885|0.938
Relative|Gynaecological cancers|2015–2019|Females|5|30–34|0.895|0.872|0.914
Relative|Gynaecological cancers|2015–2019|Females|5|35–39|0.881|0.859|0.9
Relative|Gynaecological cancers|2015–2019|Females|5|40–44|0.831|0.809|0.851
Relative|Gynaecological cancers|2015–2019|Females|5|45–49|0.799|0.778|0.817
Relative|Gynaecological cancers|2015–2019|Females|5|50–54|0.799|0.782|0.815
Relative|Gynaecological cancers|2015–2019|Females|5|55–59|0.778|0.762|0.792
Relative|Gynaecological cancers|2015–2019|Females|5|60–64|0.76|0.745|0.774
Relative|Gynaecological cancers|2015–2019|Females|5|65–69|0.708|0.692|0.723
Relative|Gynaecological cancers|2015–2019|Females|5|70–74|0.647|0.628|0.666
Relative|Gynaecological cancers|2015–2019|Females|5|75–79|0.56|0.537|0.583
Relative|Gynaecological cancers|2015–2019|Females|5|80–84|0.466|0.437|0.495
Relative|Gynaecological cancers|2015–2019|Females|5|85+|0.34|0.308|0.373
Relative|Gynaecological cancers|2015–2019|Females|5|All ages combined|0.705|0.699|0.711
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|1|00–04|||
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|1|05–09|||
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|1|10–14|||
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|1|15–19|0.954|0.714|0.993
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|1|20–24|0.875|0.725|0.946
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|1|25–29|0.939|0.844|0.976
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|1|30–34|0.96|0.897|0.985
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|1|35–39|0.942|0.892|0.97
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|1|40–44|0.939|0.907|0.96
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|1|45–49|0.932|0.912|0.948
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|1|50–54|0.919|0.903|0.932
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|1|55–59|0.895|0.881|0.908
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|1|60–64|0.87|0.856|0.883
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|1|65–69|0.829|0.812|0.843
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|1|70–74|0.807|0.787|0.824
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|1|75–79|0.735|0.709|0.759
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|1|80–84|0.691|0.658|0.721
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|1|85+|0.526|0.486|0.565
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|1|All ages combined|0.835|0.828|0.841
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|2|00–04|||
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|2|05–09|||
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|2|10–14|||
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|2|15–19|||
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|2|20–24|0.794|0.629|0.891
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|2|25–29|0.857|0.743|0.923
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|2|30–34|0.91|0.835|0.952
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|2|35–39|0.884|0.82|0.926
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|2|40–44|0.88|0.841|0.91
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|2|45–49|0.854|0.827|0.877
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|2|50–54|0.851|0.831|0.869
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|2|55–59|0.826|0.809|0.841
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|2|60–64|0.785|0.767|0.801
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|2|65–69|0.734|0.715|0.752
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|2|70–74|0.689|0.666|0.71
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|2|75–79|0.618|0.59|0.645
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|2|80–84|0.545|0.509|0.578
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|2|85+|0.396|0.357|0.434
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|2|All ages combined|0.741|0.734|0.749
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|3|00–04|||
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|3|05–09|||
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|3|10–14|||
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|3|15–19|||
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|3|20–24|0.766|0.598|0.871
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|3|25–29|0.839|0.722|0.91
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|3|30–34|0.872|0.789|0.923
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|3|35–39|0.862|0.793|0.909
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|3|40–44|0.85|0.808|0.884
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|3|45–49|0.812|0.782|0.837
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|3|50–54|0.804|0.782|0.824
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|3|55–59|0.769|0.75|0.786
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|3|60–64|0.726|0.707|0.744
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|3|65–69|0.674|0.654|0.694
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|3|70–74|0.62|0.596|0.643
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|3|75–79|0.544|0.515|0.572
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|3|80–84|0.455|0.42|0.489
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|3|85+|0.32|0.284|0.357
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|3|All ages combined|0.682|0.674|0.69
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|4|00–04|||
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|4|05–09|||
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|4|10–14|||
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|4|15–19|||
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|4|20–24|0.733|0.559|0.847
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|4|25–29|0.82|0.698|0.897
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|4|30–34|0.831|0.743|0.892
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|4|35–39|0.839|0.768|0.89
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|4|40–44|0.831|0.788|0.867
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|4|45–49|0.775|0.744|0.803
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|4|50–54|0.769|0.746|0.79
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|4|55–59|0.727|0.707|0.746
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|4|60–64|0.683|0.663|0.702
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|4|65–69|0.624|0.603|0.644
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|4|70–74|0.552|0.527|0.576
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|4|75–79|0.482|0.453|0.511
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|4|80–84|0.382|0.348|0.416
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|4|85+|0.269|0.234|0.304
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|4|All ages combined|0.634|0.625|0.642
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|5|00–04|||
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|5|05–09|||
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|5|10–14|||
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|5|15–19|||
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|5|20–24|0.733|0.559|0.847
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|5|25–29|0.782|0.653|0.868
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|5|30–34|0.821|0.732|0.884
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|5|35–39|0.805|0.731|0.861
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|5|40–44|0.807|0.762|0.845
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|5|45–49|0.762|0.73|0.79
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|5|50–54|0.752|0.729|0.774
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|5|55–59|0.694|0.673|0.714
Observed|Head and neck cancer (excluding lip)|2015–2019|Males|5|60–64|0.649|0.629|0.669
